src,dst,proto,duration,packet_count,byte_count,bytes_per_sec
172.16.1.66,172.16.1.255,17,483.652445,34,5404,11.17331268737822673469582067
172.16.1.66,224.0.0.22,2,24.882990,9,494,19.85291960491886224284139486
172.16.1.66,172.16.1.4,17,511.030139,108,11541,22.58379519960172055527237700
172.16.1.4,172.16.1.66,17,511.039782,90,17701,34.63722517007491992081352289
172.16.1.66,224.0.0.251,17,0.000167,2,172,1029940.119760479041916167665
172.16.1.66,224.0.0.252,17,0.000000,1,75,inf
172.16.1.66,172.16.1.4,6,582.567461,797,222643,382.1754816477812172211245420
172.16.1.4,172.16.1.66,6,582.521430,715,191613,328.9372547203971534575131425
172.16.1.66,20.189.173.16,6,2.677164,19,12878,4810.314198158947303938047875
20.189.173.16,172.16.1.66,6,2.596242,22,8208,3161.492649760692570261169799
172.16.1.66,23.215.55.140,6,0.109889,5,393,3576.336120994822047702681797
23.215.55.140,172.16.1.66,6,0.067288,4,407,6048.626798240399476875520152
172.16.1.66,23.52.9.222,6,18.438808,111,38495,2087.716299231490452094300239
23.52.9.222,172.16.1.66,6,18.358776,121,27234,1483.432228815254350290019335
172.16.1.66,23.198.7.175,6,178.240527,69,20371,114.2893838055135463103741833
23.198.7.175,172.16.1.66,6,178.206214,120,108514,608.9237718725116959165071539
172.16.1.66,13.69.239.79,6,1.093414,13,2728,2494.937873486163520862180290
13.69.239.79,172.16.1.66,6,0.954126,15,5492,5756.053183751412287266042430
172.16.1.66,20.96.153.111,6,108.835803,12,2576,23.66868189505617007300437706
20.96.153.111,172.16.1.66,6,108.748475,14,7320,67.31128873301441698377839321
172.16.1.66,52.109.6.53,6,133.286333,17,1727,12.95706739865069286586194850
172.16.1.66,204.79.197.203,6,302.360383,76,19994,66.12638799309895040052254465
204.79.197.203,172.16.1.66,6,302.298691,118,70677,233.7985644800559192629782178
52.109.6.53,172.16.1.66,6,133.207300,20,8689,65.22915786146855314986490981
172.16.1.66,52.109.0.142,6,114.677928,28,4298,37.47887736513690760091165930
52.109.0.142,172.16.1.66,6,128.134679,33,19062,148.7653471235527112843510538
172.16.1.66,20.241.44.114,6,0.330727,9,1228,3713.032198762121024288915027
20.241.44.114,172.16.1.66,6,34.740360,12,7281,209.5833203800996880861338224
172.16.1.66,23.52.9.140,6,109.554336,13,1451,13.24456934319788127783458977
23.52.9.140,172.16.1.66,6,109.472122,15,10790,98.56390652590072201213017502
172.16.1.66,20.7.2.167,6,475.793038,17,3677,7.728150070157184603445164324
172.16.1.66,23.48.203.208,6,103.455687,57,7656,74.00269837268588241069821517
20.7.2.167,172.16.1.66,6,475.675441,19,6432,13.52182485284120438751009641
23.48.203.208,172.16.1.66,6,103.373836,108,106085,1026.226791080868857377025266
172.16.1.66,13.107.5.93,6,0.424118,10,1817,4284.185061704525627301835810
13.107.5.93,172.16.1.66,6,65.510484,18,15467,236.0996142235798471585097738
172.16.1.66,140.82.113.3,6,0.804344,12,1392,1730.602826651283530429766369
140.82.113.3,172.16.1.66,6,0.724896,16,8491,11713.40440559749260583587163
172.16.1.66,185.199.110.133,6,6.031231,71,5068,840.2928025804350720441647816
185.199.110.133,172.16.1.66,6,5.993330,582,828901,138303.9145183061837075548985
172.16.1.66,199.232.196.209,6,5.838436,455,26728,4577.938338281005392540056960
199.232.196.209,172.16.1.66,6,1.134434,6085,8868103,7817204.879261376157625741118
172.16.1.66,141.98.10.79,6,508.669867,206,27990,55.02586611838754741884484382
141.98.10.79,172.16.1.66,6,508.471470,205,11074,21.77899971457592301098034075
172.16.1.66,208.95.112.1,6,0.091274,5,470,5149.330587023686920700308960
208.95.112.1,172.16.1.66,6,0.047475,4,691,14555.02896261190100052659294
172.16.1.66,52.191.219.104,6,0.517709,12,1671,3227.681960329065169815475489
52.191.219.104,172.16.1.66,6,0.438954,15,5067,11543.35078390902007955275496
172.16.1.66,23.198.7.177,6,120.441735,77,8228,68.31518991319744771195798533
23.198.7.177,172.16.1.66,6,120.386068,96,57150,474.7227062852488877699701929
172.16.1.66,40.126.29.14,6,25.554507,24,4014,157.0760101143802148090745793
40.126.29.14,172.16.1.66,6,25.425022,24,12351,485.7812905727279213367052347
172.16.1.66,23.48.203.203,6,148.221750,15,1822,12.29239298550988636957801402
23.48.203.203,172.16.1.66,6,148.138117,17,12832,86.62186518814735575449497579
172.16.1.66,239.255.255.250,17,6.022767,8,1432,237.7644693875755113887022360
172.16.1.66,20.166.2.191,6,1.732554,13,4270,2464.569646891236867653187145
20.166.2.191,172.16.1.66,6,1.530737,17,5620,3671.434086979017296896854260
172.16.1.66,13.107.42.16,6,0.589252,13,3584,6082.287374501910897205270411
13.107.42.16,172.16.1.66,6,0.519559,19,8269,15915.42057783620339557201396
172.16.1.66,52.109.0.91,6,34.128904,13,1686,49.40094179408749838553268514
52.109.0.91,172.16.1.66,6,0.351074,33,37964,108136.7460991130075140853495
172.16.1.66,52.113.194.132,6,33.602355,12,1895,56.39485684857504779054920407
172.16.1.66,52.109.20.47,6,33.565742,36,5306,158.0778401979017773538270061
52.113.194.132,172.16.1.66,6,0.422108,51,66389,157279.6535483809830659452083
52.109.20.47,172.16.1.66,6,0.397107,45,32929,82922.23506510839647752369009
172.16.1.66,40.97.199.114,6,32.981731,9,1737,52.66551958719207309040268384
40.97.199.114,172.16.1.66,6,0.260060,11,6288,24179.03560716757671306621549
172.16.1.66,20.189.173.10,6,26.782194,29,26814,1001.187580076523977087164704
20.189.173.10,172.16.1.66,6,0.357540,30,8642,24170.72215696145885775018180
172.16.1.66,23.221.22.68,6,20.691464,8,1613,77.95485133386405137886811682
23.221.22.68,172.16.1.66,6,0.188105,10,5880,31259.13718401956354163897823
172.16.1.66,20.189.173.26,6,1.324063,57,61918,46763.63586929020749012698036
20.189.173.26,172.16.1.66,6,1.250625,64,8456,6761.419290354822588705647176
172.16.1.66,172.16.1.4,1,2.319615,3,536,231.0728288961745806955033486
172.16.1.66,23.53.11.166,6,2.859439,29,5226,1827.631224166698432804476682
23.53.11.166,172.16.1.66,6,2.780974,56,52825,18995.14342816581528629897295
172.16.1.66,23.198.7.168,6,2.302406,21,3889,1689.102617001519280265947882
172.16.1.66,23.215.55.133,6,2.191747,12,3232,1474.622755272392297103634680
23.198.7.168,172.16.1.66,6,2.231407,44,43920,19682.64866068807707424060245
23.215.55.133,172.16.1.66,6,2.143289,15,6848,3195.089416312965726973823875
172.16.1.66,23.46.192.165,6,2.032364,15,3372,1659.151608668525913665071808
23.46.192.165,172.16.1.66,6,1.960738,29,26849,13693.31343606335981655886712
172.16.1.66,23.194.164.136,6,109.982032,15,1399,12.72025961477052906241994147
23.194.164.136,172.16.1.66,6,109.915255,40,47462,431.8053940738253302510192966
20.7.1.246,172.16.1.66,6,0.000000,1,205,inf
172.16.1.66,20.7.1.246,6,0.000000,1,54,inf
