src,dst,proto,duration,packet_count,byte_count,bytes_per_sec,anomaly
172.16.1.66,172.16.1.255,17,483.652445,34,5404,11.173312687378226,1
172.16.1.66,224.0.0.22,2,24.88299,9,494,19.852919604918863,1
172.16.1.66,172.16.1.4,17,511.030139,108,11541,22.58379519960172,1
172.16.1.4,172.16.1.66,17,511.039782,90,17701,34.63722517007492,1
172.16.1.66,224.0.0.251,17,0.000167,2,172,1029940.119760479,1
172.16.1.66,224.0.0.252,17,0.0,1,75,inf,1
172.16.1.66,172.16.1.4,6,582.567461,797,222643,382.1754816477812,-1
172.16.1.4,172.16.1.66,6,582.52143,715,191613,328.93725472039716,-1
172.16.1.66,20.189.173.16,6,2.677164,19,12878,4810.314198158947,1
20.189.173.16,172.16.1.66,6,2.596242,22,8208,3161.4926497606925,1
172.16.1.66,23.215.55.140,6,0.109889,5,393,3576.336120994822,1
23.215.55.140,172.16.1.66,6,0.067288,4,407,6048.6267982404,1
172.16.1.66,23.52.9.222,6,18.438808,111,38495,2087.71629923149,1
23.52.9.222,172.16.1.66,6,18.358776,121,27234,1483.4322288152543,1
172.16.1.66,23.198.7.175,6,178.240527,69,20371,114.28938380551354,1
23.198.7.175,172.16.1.66,6,178.206214,120,108514,608.9237718725117,1
172.16.1.66,13.69.239.79,6,1.093414,13,2728,2494.9378734861634,1
13.69.239.79,172.16.1.66,6,0.954126,15,5492,5756.053183751412,1
172.16.1.66,20.96.153.111,6,108.835803,12,2576,23.668681895056167,1
20.96.153.111,172.16.1.66,6,108.748475,14,7320,67.31128873301442,1
172.16.1.66,52.109.6.53,6,133.286333,17,1727,12.957067398650691,1
172.16.1.66,204.79.197.203,6,302.360383,76,19994,66.12638799309896,1
204.79.197.203,172.16.1.66,6,302.298691,118,70677,233.79856448005592,1
52.109.6.53,172.16.1.66,6,133.2073,20,8689,65.22915786146855,1
172.16.1.66,52.109.0.142,6,114.677928,28,4298,37.4788773651369,1
52.109.0.142,172.16.1.66,6,128.134679,33,19062,148.76534712355271,1
172.16.1.66,20.241.44.114,6,0.330727,9,1228,3713.032198762121,1
20.241.44.114,172.16.1.66,6,34.74036,12,7281,209.58332038009968,1
172.16.1.66,23.52.9.140,6,109.554336,13,1451,13.24456934319788,1
23.52.9.140,172.16.1.66,6,109.472122,15,10790,98.56390652590072,1
172.16.1.66,20.7.2.167,6,475.793038,17,3677,7.728150070157184,-1
172.16.1.66,23.48.203.208,6,103.455687,57,7656,74.00269837268588,1
20.7.2.167,172.16.1.66,6,475.675441,19,6432,13.521824852841204,1
23.48.203.208,172.16.1.66,6,103.373836,108,106085,1026.226791080869,1
172.16.1.66,13.107.5.93,6,0.424118,10,1817,4284.185061704526,1
13.107.5.93,172.16.1.66,6,65.510484,18,15467,236.09961422357983,1
172.16.1.66,140.82.113.3,6,0.804344,12,1392,1730.6028266512835,1
140.82.113.3,172.16.1.66,6,0.724896,16,8491,11713.404405597492,1
172.16.1.66,185.199.110.133,6,6.031231,71,5068,840.292802580435,1
185.199.110.133,172.16.1.66,6,5.99333,582,828901,138303.91451830618,-1
172.16.1.66,199.232.196.209,6,5.838436,455,26728,4577.938338281005,1
199.232.196.209,172.16.1.66,6,1.134434,6085,8868103,7817204.879261376,-1
172.16.1.66,141.98.10.79,6,508.669867,206,27990,55.02586611838755,1
141.98.10.79,172.16.1.66,6,508.47147,205,11074,21.778999714575924,1
172.16.1.66,208.95.112.1,6,0.091274,5,470,5149.330587023687,1
208.95.112.1,172.16.1.66,6,0.047475,4,691,14555.0289626119,1
172.16.1.66,52.191.219.104,6,0.517709,12,1671,3227.6819603290646,1
52.191.219.104,172.16.1.66,6,0.438954,15,5067,11543.35078390902,1
172.16.1.66,23.198.7.177,6,120.441735,77,8228,68.31518991319744,1
23.198.7.177,172.16.1.66,6,120.386068,96,57150,474.7227062852489,1
172.16.1.66,40.126.29.14,6,25.554507,24,4014,157.0760101143802,1
40.126.29.14,172.16.1.66,6,25.425022,24,12351,485.7812905727279,1
172.16.1.66,23.48.203.203,6,148.22175,15,1822,12.292392985509887,1
23.48.203.203,172.16.1.66,6,148.138117,17,12832,86.62186518814734,1
172.16.1.66,239.255.255.250,17,6.022767,8,1432,237.76446938757553,1
172.16.1.66,20.166.2.191,6,1.732554,13,4270,2464.569646891237,1
20.166.2.191,172.16.1.66,6,1.530737,17,5620,3671.4340869790167,1
172.16.1.66,13.107.42.16,6,0.589252,13,3584,6082.2873745019115,1
13.107.42.16,172.16.1.66,6,0.519559,19,8269,15915.420577836205,1
172.16.1.66,52.109.0.91,6,34.128904,13,1686,49.400941794087494,1
52.109.0.91,172.16.1.66,6,0.351074,33,37964,108136.746099113,1
172.16.1.66,52.113.194.132,6,33.602355,12,1895,56.394856848575046,1
172.16.1.66,52.109.20.47,6,33.565742,36,5306,158.07784019790176,1
52.113.194.132,172.16.1.66,6,0.422108,51,66389,157279.65354838097,1
52.109.20.47,172.16.1.66,6,0.397107,45,32929,82922.23506510838,1
172.16.1.66,40.97.199.114,6,32.981731,9,1737,52.66551958719207,1
40.97.199.114,172.16.1.66,6,0.26006,11,6288,24179.035607167574,1
172.16.1.66,20.189.173.10,6,26.782194,29,26814,1001.187580076524,1
20.189.173.10,172.16.1.66,6,0.35754,30,8642,24170.722156961456,1
172.16.1.66,23.221.22.68,6,20.691464,8,1613,77.95485133386404,1
23.221.22.68,172.16.1.66,6,0.188105,10,5880,31259.137184019564,1
172.16.1.66,20.189.173.26,6,1.324063,57,61918,46763.63586929021,1
20.189.173.26,172.16.1.66,6,1.250625,64,8456,6761.419290354823,1
172.16.1.66,172.16.1.4,1,2.319615,3,536,231.07282889617457,1
172.16.1.66,23.53.11.166,6,2.859439,29,5226,1827.6312241666983,1
23.53.11.166,172.16.1.66,6,2.780974,56,52825,18995.14342816581,1
172.16.1.66,23.198.7.168,6,2.302406,21,3889,1689.102617001519,1
172.16.1.66,23.215.55.133,6,2.191747,12,3232,1474.6227552723922,1
23.198.7.168,172.16.1.66,6,2.231407,44,43920,19682.64866068808,1
23.215.55.133,172.16.1.66,6,2.143289,15,6848,3195.0894163129656,1
172.16.1.66,23.46.192.165,6,2.032364,15,3372,1659.151608668526,1
23.46.192.165,172.16.1.66,6,1.960738,29,26849,13693.31343606336,1
172.16.1.66,23.194.164.136,6,109.982032,15,1399,12.720259614770528,1
23.194.164.136,172.16.1.66,6,109.915255,40,47462,431.80539407382525,1
20.7.1.246,172.16.1.66,6,0.0,1,205,inf,1
172.16.1.66,20.7.1.246,6,0.0,1,54,inf,1
